"participant","condition","block","trial_n","rt","accuracy"
569,1,2,31,712,0
569,1,2,32,875,0
569,1,2,33,550,1
569,1,2,34,661,1
569,1,2,35,675,1
569,1,2,36,901,0
569,1,2,37,469,1
569,1,2,38,512,1
569,1,2,39,712,1
569,1,2,40,575,1
565,1,1,1,1075,1
565,1,1,2,875,1
565,1,1,3,723,1
565,1,1,4,848,1
565,1,1,5,698,1
565,1,1,6,733,1
565,1,1,7,586,1
565,1,1,8,1034,1
565,1,1,9,690,1
565,1,1,10,640,1
565,1,1,11,709,1
565,1,1,12,641,1
565,1,1,13,661,1
565,1,1,14,802,1
565,1,1,15,830,1
565,1,1,16,1322,1
565,1,1,17,669,1
565,1,1,18,548,1
565,1,1,19,530,1
565,1,1,20,1047,1
565,1,1,21,676,1
565,1,1,22,786,1
565,1,1,23,710,1
565,1,1,24,719,1
565,1,1,25,900,1
565,1,1,26,785,1
565,1,1,27,848,1
565,1,1,28,945,1
565,1,1,29,739,1
565,1,1,30,1201,1
565,1,1,31,637,1
565,1,1,32,889,1
565,1,1,33,2240,1
565,1,1,34,881,1
565,1,1,35,755,1
565,1,1,36,1426,1
565,1,1,37,776,1
565,1,1,38,680,1
565,1,1,39,731,1
565,1,1,40,715,1
565,1,2,1,766,1
565,1,2,2,882,1
565,1,2,3,807,1
565,1,2,4,575,1
565,1,2,5,673,1
565,1,2,6,1029,0
565,1,2,7,897,1
565,1,2,8,825,1
565,1,2,9,635,1
565,1,2,10,678,1
565,1,2,11,667,1
565,1,2,12,935,1
565,1,2,13,873,1
565,1,2,14,736,1
565,1,2,15,784,1
565,1,2,16,880,1
565,1,2,17,740,1
565,1,2,18,704,1
565,1,2,19,625,1
565,1,2,20,1771,1
565,1,2,21,1112,1
565,1,2,22,620,1
565,1,2,23,1433,1
565,1,2,24,886,1
565,1,2,25,887,1
565,1,2,26,657,1
565,1,2,27,620,1
565,1,2,28,671,1
565,1,2,29,614,1
565,1,2,30,509,1
565,1,2,31,731,1
565,1,2,32,816,1
565,1,2,33,595,1
565,1,2,34,756,1
565,1,2,35,513,1
565,1,2,36,698,1
565,1,2,37,519,1
565,1,2,38,888,1
565,1,2,39,599,1
565,1,2,40,729,1
562,2,1,1,931,1
562,2,1,2,463,1
562,2,1,3,543,1
562,2,1,4,452,1
562,2,1,5,913,0
562,2,1,6,459,1
562,2,1,7,397,1
562,2,1,8,668,0
562,2,1,9,636,1
562,2,1,10,551,1
562,2,1,11,327,1
562,2,1,12,383,1
562,2,1,13,345,1
562,2,1,14,827,0
562,2,1,15,666,0
562,2,1,16,437,1
562,2,1,17,321,1
562,2,1,18,397,1
562,2,1,19,852,0
562,2,1,20,392,1
562,2,1,21,339,1
562,2,1,22,452,1
562,2,1,23,399,1
562,2,1,24,358,1
562,2,1,25,330,1
562,2,1,26,387,1
562,2,1,27,443,1
562,2,1,28,415,0
562,2,1,29,539,1
562,2,1,30,831,0
562,2,1,31,404,1
562,2,1,32,815,0
562,2,1,33,466,1
562,2,1,34,364,1
562,2,1,35,381,1
562,2,1,36,718,0
562,2,1,37,439,1
562,2,1,38,493,1
562,2,1,39,321,1
562,2,1,40,530,1
562,2,2,1,904,1
562,2,2,2,726,1
562,2,2,3,604,1
562,2,2,4,506,1
562,2,2,5,542,1
562,2,2,6,517,1
562,2,2,7,555,1
562,2,2,8,576,1
562,2,2,9,487,1
562,2,2,10,458,1
562,2,2,11,466,1
562,2,2,12,505,1
562,2,2,13,723,1
562,2,2,14,648,1
562,2,2,15,508,1
562,2,2,16,594,1
562,2,2,17,671,1
562,2,2,18,831,1
562,2,2,19,513,1
562,2,2,20,501,1
562,2,2,21,646,1
562,2,2,22,661,1
562,2,2,23,943,0
562,2,2,24,1097,1
562,2,2,25,277,1
562,2,2,26,534,1
562,2,2,27,599,1
562,2,2,28,721,1
562,2,2,29,490,1
562,2,2,30,528,1
562,2,2,31,544,1
562,2,2,32,438,1
562,2,2,33,519,1
562,2,2,34,497,1
562,2,2,35,401,1
562,2,2,36,508,1
562,2,2,37,300,1
562,2,2,38,403,1
562,2,2,39,320,1
562,2,2,40,483,1
558,2,1,1,657,1
558,2,1,2,426,1
558,2,1,3,383,1
558,2,1,4,358,1
558,2,1,5,347,1
558,2,1,6,461,1
558,2,1,7,392,1
558,2,1,8,478,1
558,2,1,9,542,1
558,2,1,10,414,1
558,2,1,11,388,1
558,2,1,12,434,1
558,2,1,13,415,1
558,2,1,14,436,1
558,2,1,15,445,1
558,2,1,16,832,0
558,2,1,17,430,1
558,2,1,18,587,1
558,2,1,19,546,1
558,2,1,20,426,1
558,2,1,21,483,1
558,2,1,22,430,1
558,2,1,23,427,1
558,2,1,24,424,1
558,2,1,25,469,1
558,2,1,26,593,1
558,2,1,27,540,1
558,2,1,28,437,1
558,2,1,29,378,1
558,2,1,30,400,1
558,2,1,31,438,1
558,2,1,32,475,1
558,2,1,33,519,1
558,2,1,34,659,1
558,2,1,35,471,1
558,2,1,36,436,1
558,2,1,37,417,1
558,2,1,38,437,1
558,2,1,39,394,1
558,2,1,40,477,1
558,2,2,1,559,1
558,2,2,2,472,1
558,2,2,3,547,1
558,2,2,4,411,1
558,2,2,5,466,1
